revision,status,image
core-backend-eu-00036-2tx,True,
core-backend-eu-00035-6c6,True,
core-backend-eu-00034-gwb,True,
core-backend-eu-00033-fm6,True,
core-backend-eu-00032-qh5,False,
core-backend-eu-00031-cts,False,
core-backend-eu-00030-xqt,True,
core-backend-eu-00029-mbv,True,
core-backend-eu-00028-mv5,True,
core-backend-eu-00027-d48,True,
